作物代碼,作物名稱,登記分類名稱,病蟲害名稱,農藥中文普通名稱,農藥含量,劑型,每公頃每次用量,稀釋倍數,使用時期,施藥間隔,施用次數,安全採收期_天,施用方法,注意事項,說明,核准日期,廠商名稱
A010101,水稻,水稻,水象鼻蟲,丁基加保扶,3(%) (w/w),GR,50G/每育苗箱,,插秧前24hr並使藥落土,-,-,-,藥掃落土後少量灑水，插秧後本田水位保持2-3公分，為期4-5天,限育苗箱秧苗使用。,,0840426,國際技術社股份有限公司
A010101,水稻,水稻,水象鼻蟲,丁基加保扶,3(%) (w/w),GR,60公斤,,生育初期成蟲0.5隻/叢,-,-,-,,施藥時，稻田需保持水位約一公分,,0830131,國際技術社股份有限公司
A010101,水稻,水稻,水象鼻蟲,丁基加保扶,5(%) (w/w),GR,30G/每育苗箱,,插秧前24hr並使藥落土,-,-,-,藥掃落土後少量灑水，插秧後本田水位保持2-3公分，為期4-5天,限育苗箱秧苗使用。,延伸使用,1070214,
A010101,水稻,水稻,水象鼻蟲,丁基加保扶,5(%) (w/w),GR,36公斤,,生育初期成蟲0.5隻/叢,-,-,-,,施藥時，稻田需保持水位約一公分,延伸使用,1070214,
A010101,水稻,水稻,負泥蟲,丁基加保扶,48.34(%) (w/w),EC,0.6-0.8公升,1500,幼穗形成前,15,-,-,水稻分蘗期中負泥蟲發生時開始噴藥，若施藥後田間密度尚高，隔15天再施一次,分蘗盛期以前使用,延伸使用,1070214,
A010101,水稻,水稻,負泥蟲,丁基加保扶,48.34(%) (w/w),EW,0.6-0.8公升,1500,幼穗形成前,15,-,-,水稻分蘗期中負泥蟲發生時開始噴藥，若施藥後田間密度尚高，隔15天再施一次,分蘗盛期以前使用,延伸使用,1070214,
A010101,水稻,水稻,負泥蟲,丁基加保扶,3(%) (w/w),GR,60公斤,-,害蟲發生時施藥1次,-,1,-,施藥時，稻田需保持水位約1公分。,,延伸使用,0980826,
A010101,水稻,水稻,負泥蟲,丁基加保扶,5(%) (w/w),GR,36公斤,-,害蟲發生時施藥1次,-,1,-,施藥時，稻田需保持水位約1公分。,,延伸使用,1070214,
A010101,水稻,水稻,負泥蟲,丁基加保扶,25(%) (w/w),WP,1.3-1.6公斤,750,幼穗形成前,15,-,-,水稻分蘗期中負泥蟲發生時開始噴藥，若施藥後田間密度尚高，隔15天再施一次,分蘗盛期以前使用,延伸使用,1070214,
A010101,水稻,水稻,負泥蟲,丁基加保扶,40(%) (w/w),WP,0.8-1.0公斤,1200,幼穗形成前,15,-,-,水稻分蘗期中負泥蟲發生時開始噴藥，若施藥後田間密度尚高，隔15天再施一次,分蘗盛期以前使用,,,
A010101,水稻,水稻,黑尾葉蟬,丁基加保扶,3(%) (w/w),GR,120G/箱,,播種時,-,-,-,於播種時均勻拌土施用20G，機械插秧前24小時施用100G，並灑水至飽和狀態,防治育苗箱毒素病。,,,
A010101,水稻,水稻,黑尾葉蟬,丁基加保扶,5(%) (w/w),GR,72G/箱,,播種時,-,-,-,於播種時均勻拌土施用12G，機械插秧前24小時施用60G，並灑水至飽和狀態,防治育苗箱毒素病。,延伸使用,1070214,
A010101,水稻,水稻,葉蟬類,丁基加保扶,3(%) (w/w),GR,67公斤,-,害蟲發生時開始施藥,-,-,29,-,,延伸使用,1070214,
A010101,水稻,水稻,葉蟬類,丁基加保扶,5(%) (w/w),GR,40公斤,-,害蟲發生時開始施藥,-,-,29,-,,延伸使用,0980826,
A010101,水稻,水稻,椿象類,丁基加保扶,3(%) (w/w),GR,67公斤,-,害蟲發生時開始施藥,-,-,29,-,,延伸使用,1070214,
A010101,水稻,水稻,椿象類,丁基加保扶,5(%) (w/w),GR,40公斤,-,害蟲發生時開始施藥,-,-,29,-,,延伸使用,0980826,
A010101,水稻,水稻,褐飛蝨,丁基加保扶,48.34(%) (w/w),EC,1.2公升,1000,分蘗期,-,-,10,微粒動力噴霧機：以0.8-1.2L，每次水量100L/ha;引擎轉速約6000轉/Min以上。噴頭置於莖間，有效噴幅每邊各4行，隔8行噴1趟,施藥者防護,,,
A010101,水稻,水稻,褐飛蝨,丁基加保扶,48.34(%) (w/w),EW,1.2公升,1000,分蘗期,-,-,10,微粒動力噴霧機：以0.8-1.2L，每次水量100L/ha;引擎轉速約6000轉/Min以上。噴頭置於莖間，有效噴幅每邊各4行，隔8行噴1趟,施藥者防護,變更安全劑型,1020107,
A010101,水稻,水稻,褐飛蝨,丁基加保扶,3(%) (w/w),GR,67公斤,,生長初期,20,-,29,,1.施用粒劑時，稻田需保持濕潤狀況或灌水約1CM內。2.收割前29天內停止用藥,延伸使用,1070214,
A010101,水稻,水稻,褐飛蝨,丁基加保扶,5(%) (w/w),GR,40公斤,,生長初期,20,-,29,,1.施用粒劑時，稻田需保持濕潤狀況或灌水約1CM內。2.收割前29天內停止用藥,,,
A010101,水稻,水稻,褐飛蝨,丁基加保扶,25(%) (w/w),WP,2.4公斤,500,分蘗期,-,-,10,微粒動力噴霧機：以2.4L，每次水量100L/ha;引擎轉速約6000轉/Min以上。噴頭置於莖間，有效噴幅每邊各4行，隔8行噴1趟,施藥者防護,延伸使用,1070214,
A010101,水稻,水稻,褐飛蝨,丁基加保扶,30(%) (w/w),WP,1.5公斤,800,分蘗期開始施藥,7,-,20,,,,,
A010101,水稻,水稻,褐飛蝨,丁基加保扶,40(%) (w/w),WP,1.5公斤,800,分蘗期,-,-,10,微粒動力噴霧機：以1.5L，每次水量100L/ha;引擎轉速約6000轉/Min以上。噴頭置於莖間，有效噴幅每邊各4行，隔8行噴1趟,施藥者防護,延伸使用,1070214,
A010101,水稻,水稻,稻象鼻蟲,丁基加保扶,3(%) (w/w),GR,60公斤,-,害蟲發生時施藥1次,-,1,-,施藥時，稻田需保持水位約1公分。,-,延伸使用,0980826,
A010101,水稻,水稻,稻象鼻蟲,丁基加保扶,5(%) (w/w),GR,36公斤,-,害蟲發生時施藥1次,-,1,-,施藥時，稻田需保持水位約1公分。,-,延伸使用,1070214,
A010101,水稻,水稻,稻蝨類,丁基加保扶,3(%) (w/w),GR,67公斤,-,害蟲發生時開始施藥,-,-,29,-,,延伸使用,1070214,
A010101,水稻,水稻,稻蝨類,丁基加保扶,5(%) (w/w),GR,40公斤,-,害蟲發生時開始施藥,-,-,29,-,,延伸使用,0980826,
A010101,水稻,水稻,薊馬類,丁基加保扶,3(%) (w/w),GR,67公斤,-,害蟲發生時開始施藥,-,-,29,-,,延伸使用,1070214,
A010101,水稻,水稻,薊馬類,丁基加保扶,5(%) (w/w),GR,40公斤,-,害蟲發生時開始施藥,-,-,29,-,,延伸使用,0980826,
A010101,水稻,水稻,鐵甲蟲,丁基加保扶,3(%) (w/w),GR,60公斤,-,害蟲發生時施藥1次,-,1,-,施藥時，稻田需保持水位約1公分。,-,延伸使用,0980826,
A010101,水稻,水稻,鐵甲蟲,丁基加保扶,5(%) (w/w),GR,36公斤,-,害蟲發生時施藥1次,-,1,-,施藥時，稻田需保持水位約1公分。,-,延伸使用,1070214,
A010101,水稻,水稻,褐飛蝨,丁基滅必蝨,50(%) (w/w),EC,1-1.2公升,1000,分蘗期,,-,15,,,,,
A010101,水稻,水稻,褐飛蝨,丁基滅必蝨,40(%) (w/w),WP,1.2-1.5公斤,800,分蘗期,,-,15,,,,,
A010101,水稻,水稻,黑尾葉蟬,丁基滅必蝨,40(%) (w/w),WP,1.2-1.5公斤,800,分蘗期,,-,15,,,,,
A010101,水稻,水稻,紋枯病,三氟敏,43.7(%) (w/w),SC,每公斤種子加6毫升藥劑與9毫升水,,,,,,,1.使用範圍：水稻紋枯病（水稻種子處理）2.芽長度不超過0.5毫米，即和藥液混拌均勻。3.混拌藥液之稻種，靜置陰涼處10-15分鐘，使藥液完全附著於稻種。4.藥劑與水混合後再拌種。,,1000915,台灣拜耳股份有限公司
A010101,水稻,水稻,紋枯病,三氟敏,500 g/L (50% w/v),SC,每公斤種子加6毫升藥劑與9毫升水,,,,,,,1.使用範圍：水稻紋枯病（水稻種子處理）2.芽長度不超過0.5毫米，即和藥液混拌均勻。3.混拌藥液之稻種，靜置陰涼處10-15分鐘，使藥液完全附著於稻種。4.藥劑與水混合後再拌種。,,1000915,台灣拜耳股份有限公司
A010101,水稻,水稻,葉稻熱病,三賽唑,3(%) (w/w),GR,50克/平方公尺,,插秧前1天無露水時施藥,,,-,均勻撒佈後以竹竿輕掃秧田，使藥粒脫落土面。,防治水田秧苗葉稻熱病，撒藥前秧田應保持濕潤。,,,
A010101,水稻,水稻,葉稻熱病,三賽唑,41.7(%) (w/w),SC,0.67公升,1500,插秧後30-35天施藥,20,2,25,,視發病情形再隔二十天再施藥一次,,,
A010101,水稻,水稻,葉稻熱病,三賽唑,75(%) (w/w),WG,0.33公斤,3000,插秧後30-45天施藥,-,2,25,,,變更安全劑型,1140219,
A010101,水稻,水稻,葉稻熱病,三賽唑,75(%) (w/w),WG,0.33公斤,60,插秧後30天至45天葉稻熱病初發生時施藥一次，7至10天後再施藥一次。,,2,25,1.適用於無人飛行載具。2.藥滴體積中值粒徑（VMD，Volume Media Diameter）應大於145微米，且植株上藥滴覆蓋率須達每平方公分50滴以上。,1.風速大於每秒3公尺時，請勿噴施。2.為防制飄散並避免鄰田污染應設置適當緩衝區。3.操作者應站於上風處，並保持適當操作距離。4.無人飛行載具飛行參數請參閱防檢署農藥資訊服務相關網站。,無人機施藥,1140219,
A010101,水稻,水稻,葉稻熱病,三賽唑,75(%) (w/w),WP,0.33公斤,3000,插秧後30-45天施藥,,2,25,,,,,
A010101,水稻,水稻,葉稻熱病,三賽唑,75(%) (w/w),WP,0.33公斤,60,插秧後30天至45天葉稻熱病初發生時施藥一次，7至10天後再施藥一次。,,2,25,1.適用於無人飛行載具。2.藥滴體積中值粒徑（VMD，Volume Media Diameter）應大於145微米，且植株上藥滴覆蓋率須達每平方公分50滴以上。,1.風速大於每秒3公尺時，請勿噴施。2.為防制飄散並避免鄰田污染應設置適當緩衝區。3.操作者應站於上風處，並保持適當操作距離。4.無人飛行載具飛行參數請參閱防檢署農藥資訊服務相關網站。,無人機施藥,1090401,
