代碼,名稱,碼數
A,稻,1
A01,米類,3
A0101,禾本科米類,5
A010101,水稻,7
B,麥糧,1
B02,麥類,3
B0201,禾本科麥類,5
B020102,小麥,7
B03,雜糧類,3
B0301,禾本科雜糧類,5
B030106,小米,7
B030107,玉米,7
B030108,高粱,7
B030109,薏苡 薏仁,7
B0306,蓼科雜糧類,5
B0314,藜科雜糧類,5
B031403,臺灣藜 台灣藜,7
C,蔬菜,1
C04,乾豆類,3
C0403,豆科乾豆類,5
C040301,落花生 花生,7
C040302,綠豆,7
C040303,紅豆,7
C040304,大豆 黃豆、黑豆、茶豆,7
C040305,花豆,7
C040306,樹豆,7
C040307,豌豆,7
C040309,菜豆,7
C040313,萊豆,7
C040314,蠶豆,7
C040323,豇豆 長豇豆、菜豆仔,7
C0407,十字花科乾豆類,5
C040710,油菜 油菜籽、油菜子,7
C0408,菊科乾豆類,5
C040820,向日葵 葵花籽、葵花子、葵瓜子,7
C0432,蓮科乾豆類,5
C0446,錦葵科乾豆類,5
C0480,山茶科乾豆類,5
C048001,茶 茶籽,7
C048003,油茶 苦茶籽、油茶籽,7
C0481,亞麻科乾豆類,5
C048101,亞麻 亞麻籽,7
C0488,胡麻科乾豆類,5
C048801,胡麻 芝麻,7
C05,包葉菜類,3
C0507,十字花科包葉菜類,5
C050701,甘藍 高麗菜,7
C050702,花椰菜,7
C050703,結球白菜,7
C0508,菊科包葉菜類,5
C050801,結球萵苣,7
C050816,朝鮮薊,7
C06,小葉菜類,3
C0602,旋花科小葉菜類,5
C060201,蕹菜,7
C060202,甘藷 葉用甘藷、甘藷葉,7
C0603,豆科小葉菜類,5
C060307,豌豆 葉用豌豆、豌豆葉,7
C0607,十字花科小葉菜類,5
C060709,小白菜 白菜、不結球白菜,7
C060710,油菜 食用油菜,7
C060711,青江菜 青江白菜,7
C060712,芥藍,7
C060714,芥菜,7
C0608,菊科小葉菜類,5
C060802,不結球萵苣與半結球萵苣,7
C060803,茼蒿,7
C060804,山茼蒿 昭和草,7
C060805,紅鳳菜,7
C060806,白鳳菜,7
C060807,芳香萬壽菊,7
C060808,闊包菊,7
C0609,茄科小葉菜類,5
C060901,龍葵,7
C060907,枸杞 枸杞葉,7
C0610,蔥科小葉菜類,5
C061001,蒜,7
C061002,蔥 青蔥,7
C061003,韭 韭菜、韭黃、韭菜花,7
C061005,蕗蕎 蕗蕎葉,7
C061006,珠蔥,7
C061007,麥蔥,7
C061008,蔥韭,7
C0611,葫蘆科小葉菜類,5
C061101,龍鬚菜 隼人瓜藤,7
C0612,繖形花科小葉菜類,5
C061201,芹菜,7
C061202,芫荽 香菜,7
C061203,茴香,7
C061207,山芹菜 鴨兒芹,7
C0613,唇形花科小葉菜類,5
C061301,羅勒 九層塔,7
C061302,紫蘇,7
C061303,仙草,7
C061304,薄荷,7
C0614,藜科小葉菜類,5
C061401,菠菜,7
C061402,甜菜 葉用甜菜、菾菜、君達菜、莙薘菜、加茉菜、茄茉菜,7
C0619,莧科小葉菜類,5
C061901,莧菜,7
C0620,鐵角蕨科小葉菜類,5
C062001,山蘇,7
C0621,蹄蓋蕨科小葉菜類,5
C062101,過溝菜蕨 過貓,7
C0622,田麻科小葉菜類,5
C062201,黃麻 蔴薏、黃麻嫩芽,7
C0625,睡菜科小葉菜類,5
C062501,龍骨瓣莕菜 野蓮、水蓮,7
C0626,落葵科小葉菜類,5
C062601,落葵 皇宮菜、洛葵,7
C0629,爵床科小葉菜類,5
C0630,楝科小葉菜類,5
C063001,香椿,7
C07,根菜類 根莖菜類,3
C0701,禾本科根菜類,5
C070112,茭白筍,7
C070113,竹 竹筍、綠竹、綠竹筍、麻竹、麻竹筍、孟宗竹,7
C0702,旋花科根菜類,5
C070202,甘藷 地瓜、番薯,7
C0703,豆科根菜類,5
C070308,豆薯,7
C070320,狗尾草 狗尾草根,7
C070321,闊葉大豆 闊葉大豆根,7
C0704,大戟科根菜類,5
C070401,樹薯,7
C0705,薯蕷科根菜類,5
C070501,山藥,7
C0707,十字花科根菜類,5
C070713,蘿蔔 白蘿蔔,7
C070718,蕪菁,7
C070719,山葵,7
C0708,菊科根菜類,5
C070809,牛蒡,7
C070810,婆羅門參 洋牛蒡,7
C070814,黑婆羅門參 黑皮波羅門參,7
C0709,茄科根菜類,5
C070902,馬鈴薯,7
C0710,蔥科根菜類,5
C071001,蒜 蒜頭,7
C071004,洋蔥,7
C071005,蕗蕎 蕎頭,7
C071006,珠蔥 紅蔥頭,7
C0712,繖形花科根菜類,5
C071205,胡蘿蔔 紅蘿蔔,7
C071205,胡蘿蔔 胡蘿蔔葉、紅蘿蔔葉,7
C0714,藜科根菜類,5
C071402,甜菜 甜菜根、菾菜根,7
C0715,薑科根菜類,5
C071502,薑,7
C0717,百合科根菜類,5
C071702,金針 碧玉筍,7
C0718,天南星科根菜類,5
C071801,芋 芋頭,7
C071802,蒟蒻,7
C0732,蓮科根菜類,5
C0733,莎草科根菜類,5
C0734,菱角科根菜類,5
C073401,菱角,7
C0735,澤瀉科根菜類,5
C0747,天門冬科根菜類,5
C074701,蘆筍,7
C08,蕈菜類,3
C0836,光柄菇科蕈菜類,5
C083601,草菇,7
C0837,小皮傘科蕈菜類,5
C083701,香菇,7
C0838,傘菌科蕈菜類,5
C083801,洋菇,7
C0839,木耳科蕈菜類,5
C0840,銀耳科蕈菜類,5
C0841,猴頭菇科蕈菜類,5
C0842,糞傘科蕈菜類,5
