法規名稱,條號,相似度,比對結果,次要來源網址
農藥管理法,第1條,0.991,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第2條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第3條,0.978,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第4條,0.978,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第5條,0.98,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第6條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第7條,0.98,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第8條,0.978,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第9條,0.991,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第10條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第11條,0.986,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第12條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第13條,0.99,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第14條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第15條,0.961,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第16條,0.963,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第17條,0.973,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第18條,0.966,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第19條,0.983,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第20條,0.988,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第21條,0.988,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第22條,0.986,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第23條,0.996,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第24條,0.986,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第25條,0.985,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第26條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第27條,0.967,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第28條,1.0,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第29條,0.98,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第30條,0.991,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第31條,0.994,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第32條,0.985,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第33條,0.993,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第34條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第35條,0.99,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第36條,0.99,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第37條,0.045,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第38條,1.0,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第39條,0.99,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第40條,0.99,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第41條,0.991,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第42條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第43條,0.986,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第44條,0.984,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第45條,0.992,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第46條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第47條,0.993,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第48條,0.978,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第49條,0.988,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第49條,0.176,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第50條,0.988,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
